voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
8998,37,12,25,0.3243243243243243,0.6756756756756757,-0.46240777,-4.8129497,-0.80990434,-5.3485713
9002,37,11,26,0.2972972972972973,0.7027027027027027,0.42753947,5.4846597,0.41934025,4.5353856
9003,37,17,20,0.4594594594594595,0.5405405405405406,0.25989008,7.104908,0.3007783,5.558828
9020,37,22,15,0.5945945945945946,0.4054054054054054,0.6877228,-0.48761603,0.753898,1.0385551
9021,37,16,21,0.4324324324324324,0.5675675675675675,0.49121296,1.0863031,0.49556208,1.5074588
9022,37,16,21,0.4324324324324324,0.5675675675675675,0.24943534,4.1211305,0.35744542,4.0879636
9027,37,21,16,0.5675675675675675,0.4324324324324324,0.21800494,3.1006858,0.2668057,2.555603
9030,37,16,21,0.4324324324324324,0.5675675675675675,0.48112583,4.6166945,0.4981827,4.7068825
9038,37,21,16,0.5675675675675675,0.4324324324324324,0.72550094,-2.5575867,1.3482053,-2.599537
9041,37,15,22,0.4054054054054054,0.5945945945945946,0.3056836,-0.18680565,0.6168096,-2.554108
9042,37,21,16,0.5675675675675675,0.4324324324324324,0.39729947,0.84723115,0.46167457,-0.6839211
9047,37,16,21,0.4324324324324324,0.5675675675675675,0.36080313,6.4027905,0.42536023,6.4093814
9048,37,15,22,0.4054054054054054,0.5945945945945946,0.39847076,2.2431238,0.43131712,5.599208
9049,37,19,18,0.5135135135135135,0.4864864864864865,0.41130918,4.531698,0.45093754,4.4350867
9065,37,16,21,0.4324324324324324,0.5675675675675675,0.24668998,5.3477187,0.4076086,5.3377438
9066,37,18,19,0.4864864864864865,0.5135135135135135,0.3176232,3.7131727,0.45469862,6.3688126
9074,37,14,23,0.3783783783783784,0.6216216216216216,0.3890916,5.2663755,0.46414292,6.3348293
9075,37,16,21,0.4324324324324324,0.5675675675675675,0.45542008,1.7530696,0.49744287,6.8288608
9084,37,15,22,0.4054054054054054,0.5945945945945946,0.24105461,6.191515,0.52297443,6.993421
9085,37,16,21,0.4324324324324324,0.5675675675675675,0.5024031,5.236335,0.4413589,6.558198
9095,37,11,26,0.2972972972972973,0.7027027027027027,0.49837744,5.4053946,0.69173944,5.9399385
9096,37,19,18,0.5135135135135135,0.4864864864864865,0.49385723,6.6899247,0.51993185,6.5777035
9097,37,17,20,0.4594594594594595,0.5405405405405406,0.47892022,1.1816965,0.6024353,0.6322771
9098,37,12,25,0.3243243243243243,0.6756756756756757,0.23855953,1.551541,0.40934345,0.57433206
9101,37,20,17,0.5405405405405406,0.4594594594594595,0.5587116,-1.703536,0.6769158,5.3658524
9112,37,14,23,0.3783783783783784,0.6216216216216216,0.4489609,4.1436996,0.6185925,5.992617
9113,37,14,23,0.3783783783783784,0.6216216216216216,0.60165143,5.260119,0.6243634,6.083915
9114,37,16,21,0.4324324324324324,0.5675675675675675,0.42292234,2.9217956,0.591184,1.4632574
9115,37,14,23,0.3783783783783784,0.6216216216216216,0.48303074,2.8691807,0.6817032,3.5917528
9116,36,19,17,0.5277777777777778,0.4722222222222222,0.27201095,-9.540875,1.8916067,-10.70575
9125,37,16,21,0.4324324324324324,0.5675675675675675,0.4122234,5.268203,0.45770353,6.3064528
9126,37,14,23,0.3783783783783784,0.6216216216216216,0.4232705,3.165567,0.60373497,6.5036635
9127,37,19,18,0.5135135135135135,0.4864864864864865,0.58185166,5.4394836,0.5724429,6.211135
9128,37,14,23,0.3783783783783784,0.6216216216216216,0.5037898,-0.5516921,0.50687206,2.535335
9129,37,19,18,0.5135135135135135,0.4864864864864865,0.46964785,0.10871711,0.6348944,3.8148837
9130,37,19,18,0.5135135135135135,0.4864864864864865,0.3601789,1.0959452,1.0635368,9.19883
